	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
606	俗话说，民以食为天。我们要吃饱吃好，到醉仙楼点个菜吧！	俗话说，民以食为天。我们要吃饱吃好，到醉仙楼点个菜吧！												
607	城市发展不错，我感觉，各地的冒险家一定会来我们的王国，组建一个冒险家协会吧。	城市发展不错，我感觉，各地的冒险家一定会来我们的王国，组建一个冒险家协会吧。												
608	这地方还不是那么太平，身为王国之主的您，带领我们前往探险工会战斗吧！咩！	这地方还不是那么太平，身为王国之主的您，带领我们前往探险工会战斗吧！咩！												
609	天气好热，噢不，原来是空间狭小了。能带我们去不远处开荒咩？	天气好热，噢不，原来是空间狭小了。能带我们去不远处开荒咩？												
610	世界的每个角落都有我们的同类存在，何不与他们成为朋友，共同发展呢？	世界的每个角落都有我们的同类存在，何不与他们成为朋友，共同发展呢？												
611	老夫腰酸背疼，老了，需要歇歇喽。得找个休息的地方才行啦。	老夫腰酸背疼，老了，需要歇歇喽。得找个休息的地方才行啦。												
612	精诚之至，金石为开，学舍名石开。老夫开始讲学了。	精诚之至，金石为开，学舍名石开。老夫开始讲学了。												
613	学生们反映，上课不知早晚。咱们王国的计时工具可不少，赶紧置办一个为妙。	学生们反映，上课不知早晚。咱们王国的计时工具可不少，赶紧置办一个为妙。												
614	这地方，集天地灵气呀。看来是我在这安家修行的好地方。	这地方，集天地灵气呀。看来是我在这安家修行的好地方。												
615	恩，这地方好像少了点儿什么。对了，切磋武艺的地方在哪里？	恩，这地方好像少了点儿什么。对了，切磋武艺的地方在哪里？												
616	要想富先修路，要想壮先砌墙！	要想富先修路，要想壮先砌墙！												
617	羊夫子教导我们，木材是生产的根本，我也要为这个城市做些贡献才行。	羊夫子教导我们，木材是生产的根本，我也要为这个城市做些贡献才行。												
618	啊呀呀，这么多木材，只能盖房子，边角余料不是浪费了么？看来发挥我手工的时间到了。	啊呀呀，这么多木材，只能盖房子，边角余料不是浪费了么？看来发挥我手工的时间到了。												
619	最近闲得快发霉了，出去打小怪兽找幸福去吧！	最近闲得快发霉了，出去打小怪兽找幸福去吧！												
620	王国来了个帅气的猫哥哥，带上礼物去看他吧。	王国来了个帅气的猫哥哥，带上礼物去看他吧。												
621	唧唧复唧唧，木兰当户织。老先生教的诗真有意境。我们都来纺织吧。	唧唧复唧唧，木兰当户织。老先生教的诗真有意境。我们都来纺织吧。												
622	爱逛街，也爱购物。喜欢安静，更喜欢交朋友。我是玉兔妹，我想去世界找朋友	爱逛街，也爱购物。喜欢安静，更喜欢交朋友。我是玉兔妹，我想去世界找朋友												
623	爱逛街，也爱购物。喜欢安静，更喜欢交朋友。我是玉兔妹，我想去世界找朋友	爱逛街，也爱购物。喜欢安静，更喜欢交朋友。我是玉兔妹，我想去世界找朋友												
624	我认为，我是王国里面最勤劳的兔子。我最能体会劳动的快乐，您能帮我购买一块农田么？春天了，我打算种麦子呢。	我认为，我是王国里面最勤劳的兔子。我最能体会劳动的快乐，您能帮我购买一块农田么？春天了，我打算种麦子呢。												
625	气死了！我的麦子全都被小鸟糟蹋了，赶紧砸个稻草人吓唬吓唬他们。	气死了！我的麦子全都被小鸟糟蹋了，赶紧砸个稻草人吓唬吓唬他们。												
626	玉兔妹说想吃西瓜，我要种些给她送过去。我可以借用小车送好多西瓜，乖乖兔一定会爱上我的，哈哈！	玉兔妹说想吃西瓜，我要种些给她送过去。我可以借用小车送好多西瓜，乖乖兔一定会爱上我的，哈哈！												
627	推着小车在草地上走真费力，我们不能修些路么？	推着小车在草地上走真费力，我们不能修些路么？												
628	那个傻子兔，不是说给我送西瓜么，还没到。这要是等到晚上还没来，我会害怕的。	那个傻子兔，不是说给我送西瓜么，还没到。这要是等到晚上还没来，我会害怕的。												
629	有了农田就可以耕作了！生活可以变得更美好！	有了农田就可以耕作了！生活可以变得更美好！												
630	咩，有钱花有菜吃，生活如此多娇。	咩，有钱花有菜吃，生活如此多娇。												
631	消耗一定时间修建起来的商业建筑定时产生利益，是王国财富的最稳定来源咩。	消耗一定时间修建起来的商业建筑定时产生利益，是王国财富的最稳定来源咩。												
632	木材是最基础的材料，支持商业建筑修建，一定要记得保证它的库存咩。	木材是最基础的材料，支持商业建筑修建，一定要记得保证它的库存咩。												
633	谁不想有个温暖的家？修住宅，增百姓，同劳动，他好大家好。	谁不想有个温暖的家？修住宅，增百姓，同劳动，他好大家好。												
634	满足满足，白嫩嫩的豆腐是大家的最爱。	满足满足，白嫩嫩的豆腐是大家的最爱。												
635	我们的王国在一步步的成长了！	我们的王国在一步步的成长了！												
636	咩咩，满载而归呀！您真是个伟大的战士！	咩咩，满载而归呀！您真是个伟大的战士！												
637	王国的土地扩张，我们的物资又丰富了！	王国的土地扩张，我们的物资又丰富了！												
638	 邻邦接壤，一定要好好照顾哦。	 邻邦接壤，一定要好好照顾哦。												
639	身在竹林处，独坐半亭闲，悠然自在呀。	身在竹林处，独坐半亭闲，悠然自在呀。												
640	金石为开，没听懂么？好吧，来石开学舍，老夫会教你的。	金石为开，没听懂么？好吧，来石开学舍，老夫会教你的。												
641	日出而作，日落而息。万事万物，准寻自然，即可长生不息，窃以为幸事。	日出而作，日落而息。万事万物，准寻自然，即可长生不息，窃以为幸事。												
642	小屋子盖好了，也有了自己的朋友，我应该能在这里修行好一段时间吧。	小屋子盖好了，也有了自己的朋友，我应该能在这里修行好一段时间吧。												
643	呼呼，我就在这里等着大家挑战了！	呼呼，我就在这里等着大家挑战了！												
644	这种体力活真麻烦，幸好我聪明，才能这么快就建好！	这种体力活真麻烦，幸好我聪明，才能这么快就建好！												
645	大丰收，好多木材！可以用一阵子了。	大丰收，好多木材！可以用一阵子了。												
646	哈哈，看，东方的神奇餐具筷子！	哈哈，看，东方的神奇餐具筷子！												
647	战斗归来，元气百倍！	战斗归来，元气百倍！												
648	晾衣架和火锅，一个用得到一个吃得饱，猫哥哥一定会满意的。	晾衣架和火锅，一个用得到一个吃得饱，猫哥哥一定会满意的。												
649	纺织好难哦，把我的爪子都磨破了，还是去保护下可爱的爪子吧。	纺织好难哦，把我的爪子都磨破了，还是去保护下可爱的爪子吧。												
650	没事儿找找朋友，反正闲着也是闲着。	没事儿找找朋友，反正闲着也是闲着。												
651	没事儿找找朋友，反正闲着也是闲着。	没事儿找找朋友，反正闲着也是闲着。												
652	没事儿找找朋友，反正闲着也是闲着。	没事儿找找朋友，反正闲着也是闲着。												
653	稻草人的效果蛮不错，小鸟们都不敢靠近麦子了。	稻草人的效果蛮不错，小鸟们都不敢靠近麦子了。												
654	打起鼓翘起罗，推着小车去送货。走喽走喽！	打起鼓翘起罗，推着小车去送货。走喽走喽！												
655	哈哈，玉兔妹家又近一步了。	哈哈，玉兔妹家又近一步了。												
656	呀！有灯了，真气派。可以慢慢等带美味西瓜的到来了。	呀！有灯了，真气派。可以慢慢等带美味西瓜的到来了。												
657	修建一块农田	修建一块农田												
658	 种一块萝卜地	 种一块萝卜地												
659	 修建一个水车	 修建一个水车												
660	 获得十个木材	 获得十个木材												
661	 修建一座民居。	 修建一座民居。												
662	 在醉仙楼做一份儿豆腐。	 在醉仙楼做一份儿豆腐。												
663	 修建一座擂台。	 修建一座擂台。												
664	完成一次小游戏。	完成一次小游戏。												
665	扩建一块土地	扩建一块土地												
666	访问好友“畅游王国”	访问好友“畅游王国”												
667	购买一把摇椅	购买一把摇椅												
668	修建石开学舍	修建石开学舍												
669	修建一座日晷	修建一座日晷												
670	修建一座民居	修建一座民居												
671	修建一座民间擂台	修建一座民间擂台												
672	修建五个道路	修建五个道路												
673	收获50个木材	收获50个木材												
674	修建一个木制品小作坊	修建一个木制品小作坊												
675	外出战斗一次	外出战斗一次												
676	购买一个火锅	购买一个火锅												
677	购买一个纺织机	购买一个纺织机												
678	去好友家打扫三次	去好友家打扫三次												
679	去好友家打扫三次	去好友家打扫三次												
680	种植1块农田	种植2块农田												
681	购买一个稻草人	购买一个稻草人												
682	收获5个西瓜	收获5个西瓜												
683	修建五条石板路	修建五条石板路												
684	修建两盏灯	修建两盏灯												
685	种植一棵竹子	种植一棵竹子												
686	在学舍中收获两次	在学舍中收获两次												
687	在擂台中收获两次	在擂台中收获两次												
688	修建两堵墙	修建两堵墙												
689	制作一根筷子	制作一根筷子												
690	购买一个晾衣架	购买一个晾衣架												
691	种下一个麦子。	种下一个麦子。												
692	珍珑棋局	chessboard												
693	济世医馆	health center												
694	听雨茶社	teahouse												
695	胡来钱庄	native bank												
696	宝来赌场	gambling hell												
697	茶世家	tea garden												
698	当前剩余食物：	Surplus food:												
699	倒计时：	countdown：												
700	穷光蛋典当行	穷光蛋典当行												
701	蔡奶奶蔬菜店	蔡奶奶蔬菜店												
702	泰丰服饰	泰丰服饰												
703	北海白塔	北海白塔												
704	摘星	摘星												
705	三碗不过岗	三碗不过岗												
706	灌木	灌木												
707	在小怪物们抢走粮食之前，用技能卡片把他们驱赶走吧!	在小怪物们抢走粮食之前，用技能卡片把他们驱赶走吧!*外语1												
708	开始	开始*外语1												
709	立刻开始	立刻开始*外语1												
710	剩余时间	剩余时间*外语1												
711	剩余作物数量	剩余作物数量*外语1												
712	确认离开游戏吗？	确认离开游戏吗？*外语1												
713	中途离开游戏，游戏失败！	中途离开游戏，游戏失败！*外语1												
714	战斗胜利	战斗胜利*外语1												
715	战斗失败	战斗失败*外语1												
716	回城	回城*外语1												
717	欢迎来到动物王国，为了光辉的明天一起奋斗吧！	欢迎来到动物王国，为了光辉的明天一起奋斗吧！												
718	进城喽	进城喽												
719	请选择您的星座	请选择您的星座												
720	系统消息	系统消息												
721	藏宝袋	藏宝袋												
722	我的ID：	MY ID：												
723	在小怪物们抢走粮食之前，用技能卡片把他们驱赶走吧!	在小怪物们抢走粮食之前，用技能卡片把他们驱赶走吧!												
724	小游戏	Mini Game												
725	选择星座	Choose constellation												
726	剩余钓鱼次数：	剩余钓鱼次数：												
727	蓄力	蓄力												
728	收杆	收杆												
729	欢迎来到兔村，我是兔子们的教书先生。有朋自远方来不亦悦乎。兔子们在酒馆中为你接风，点击酒馆会有惊喜咩！	咩！												
730	每过一段时间，你都可以在这样的商业店铺中获得兔子们的礼物，这些礼物可以帮助你更好的发展城市。	咩咩！												
731	获得礼物后，我们就可以在商店中购买兔子们的民居了。	咩咩咩！												
732	修建民居后可以增加一只小兔子为你工作。	咩咩咩！												
733	盖房子消耗了很多木材，让我们积攒些木材咩！	咩咩咩！												
734	有了木材，我们就可以修建更多房屋了。	咩咩咩！												
735	伐木场中可以把一些材料加工成细致的手工艺品，亲手做一个试试吧！	禽兽！												
736	积攒所需物品，就可以作出做工精良的装饰小建筑了。	乐乐乐！												
737	有鱼上钩啦，快收线！	有鱼上钩啦，快收线！*外语1												
738	鱼快跑掉啦，快收线！	鱼快跑掉啦，快收线！*外语1												
739	呀，鱼跑掉啦！	呀，鱼跑掉啦！*外语1												
740	鱼线快要断啦，小心！	鱼线快要断啦，小心！*外语1												
741	哎呀，鱼线被挣断了，鱼跑掉啦！	哎呀，鱼线被挣断了，鱼跑掉啦！*外语1												
