INT	STRING	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	STRING	STRING	STRING
105	稻草人@:141	11	3	.//building//daocaoren001.actor	1	.//building//cj_daocaoren001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2.36	0	0	0	0	0	0	0	1	0	15	1	1
106	小树木@:142	1	10	.//building//xiaoshu001.actor	316	.//building//cj_xiaoshu001.png	1	1	0	1	1	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	4	0.75	0	16	1	1
107	花盆@:143	12	3	.//building//huapen001.actor	1	.//building//cj_huapen001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2.53	0	0	0	0	0	0	0	1	0	17	1	1
108	水塘@:144	100	8	.//building//shuitang001.actor	1	.//building//cj_shuitang001.png	4	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	50	0	0	0	0	0	0	0	1	0	18	1	1
109	寺庙主殿@:145	14	1	.//building//biyunsi001.actor	313	.//building//cj_biyunsi001.png	6	6	0	28800	1	20	0	0	0	28800	0	292.08	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	1	72	1	5000
110	野外水塘（不显示）@:146	100	8	.//building//yewaishuitang001.actor	1	.//building//cj_yewaishuitang001.png	6	6	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	50	0	0	0	0	0	0	0	0.5	0	2	1	1
111	野外水塘@:147	100	8	.//building//yewaishuitang002.actor	1	.//building//cj_yewaishuitang002.png	6	6	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	25	0	0	0	0	0	0	0	0.5	0	3	1	1
112	木制品小作坊@:148	15	1	.//building//famuchang002.actor	319	.//building//cj_famuchang002.png	3	3	0	3600	1	15	0	0	0	3600	0	199.2	0	main_pop.png	15	1	5	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	26	1	5000
113	东方剧场@:149	16	1	.//building//jingjuyuan001.actor	312	.//building//cj_dijijingjuyuan001.png	5	5	0	86400	1	20	0	0	0	86400	0	517.28	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	13	1	5000
114	弧形围墙@:150	15	11	.//building//weiqiang_002.actor	315	.//building//cj_minjuweiqiang003_002.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	1	1
115	弧形民居门@:151	24	3	.//building//weiqiangmen002.actor	1	.//building//cj_minjumen_002.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	11.75	0	0	0	0	0	0	0	1	0	7	1	1
116	民间擂台@:152	17	1	.//building//leitai001.actor	312	.//building//cj_dijileitai.png	4	4	0	300	1	1	0	0	0	300	0	44	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	8	1	5000
117	角斗擂台@:153	18	1	.//building//leitai002.actor	312	.//building//cj_zhongjileitai.png	4	4	0	3600	1	15	0	0	0	3600	0	225.6	0	main_pop.png	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	55	1	5000
118	文艺探险工会@:154	15	6	.//building//maoxian02.actor	317	.//building//cj_maoxian02.png	6	6	0	100	1	1	0	0	0	0	0	0	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14400	2	0	0	0	0.3	0	10	1	1
119	终极武道场@:155	19	1	.//building//leitai003.actor	312	.//building//cj_gaojileitai.png	4	4	0	600	1	3	0	0	0	600	0	82	0	main_pop.png	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	58	1	5000
120	石开学舍@:156	20	1	.//building//shuyuan001.actor	312	.//building//cj_dijishuyuan.png	4	4	0	28800	1	20	0	0	0	28800	0	314.16	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	62	1	5000
121	黄包车@:157	25	3	.//building//huangbaoche.actor	1	.//building//cj_huangbaoche.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.25	0	0	0	0	0	0	0	1	0	13	1	1
122	独轮车@:158	13	3	.//building//dulunche.actor	1	.//building//cj_dulunche.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	2.71	0	0	0	0	0	0	0	1	0	14	1	1
123	灯笼摊@:159	26	3	.//building//denglongtan.actor	1	.//building//cj_denglongtan.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.3	0	0	0	0	0	0	0	1	0	15	1	1
124	无马马车@:160	27	3	.//building//mache.actor	1	.//building//cj_mache.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.4	0	0	0	0	0	0	0	1	0	16	1	1
125	老北京火锅@:161	14	3	.//building//huoguo.actor	1	.//building//cj_huoguo.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2.9	0	0	0	0	0	0	0	1	0	17	1	1
126	四维书院@:162	21	1	.//building//shuyuan002.actor	312	.//building//cj_zhongjishuyuan.png	4	4	0	14400	1	20	0	0	0	14400	0	238.4	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	24	1	5000
127	孔孟讲堂@:289	22	1	.//building//shuyuan003.actor	312	.//building//cj_gaojishuyuan.png	4	4	0	86400	1	20	0	0	0	86400	0	534.56	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	36	1	5000
128	温泉@:290	23	1	.//building//wenquan001.actor	312	.//building//cj_wenquan001.png	3	3	0	28800	1	20	0	0	0	28800	0	336.24	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	43	1	5000
129	纺织机@:291	15	3	.//building//fangzhiji001.actor	1	.//building//cj_fangzhiji.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3.1	0	0	0	0	8	0	0	1	0	3	1	1
130	日晷@:292	24	1	.//building//rigui001.actor	312	.//building//cj_rigui001.png	3	3	0	14400	1	20	0	0	0	14400	0	257.6	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	1	76	1	5000
131	铜鼎@:293	16	3	.//building//tongding001.actor	1	.//building//cj_tongding001.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	5	1	1
132	鼓@:294	17	3	.//building//gu001.actor	1	.//building//cj_gu.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.01	0	0	0	0	0	0	0	1	0	6	1	1
133	晾衣架@:295	18	3	.//building//liangyijia001.actor	1	.//building//cj_liangyijia.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.03	0	0	0	0	0	0	0	1	0	7	1	1
134	摇椅@:296	19	3	.//building//yaoyi001.actor	1	.//building//cj_yaoyi.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.06	0	0	0	0	0	0	0	1	0	8	1	1
135	透明阻挡@31	1	99	.//building//building_block.actor	2	.//building//building_block.png	16	16	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	1	1
136	夜色篝火@:321	20	3	.//building//gouhuo001.actor	1	.//building//cj_gouhuo.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.1	0	0	0	0	0	0	0	1	0	10	1	1
137	大姑娘花轿@:322	21	3	.//building//huajiao001.actor	1	.//building//cj_huajiao.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.15	0	0	0	0	0	0	0	1	0	11	1	1
138	特色烤鱼@:323	22	3	.//building//kaoyujia001.actor	1	.//building//cj_kaoyujia.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.21	0	0	0	0	0	0	0	1	0	12	1	1
139	美味烤萝卜@:324	23	3	.//building//kaoluobo001.actor	1	.//building//cj_kaohuluobojia.png	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.28	0	0	0	0	0	0	0	1	0	13	1	1
140	西山凉亭@:325	28	3	.//building//liangting001.actor	1	.//building//cj_liangting.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1.55	0	0	0	0	0	0	0	1	0	14	1	1
141	中式冷兵器架@:326	29	3	.//building//bingqijia001.actor	1	.//building//cj_lengbingqijia.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1.75	0	0	0	0	0	0	0	1	0	15	1	1
142	延年益寿牌@:327	25	1	.//building//majiangzhuo.actor	1	.//building//cj_majiangzhuo.png	3	3	0	3600	1	15	0	0	0	3600	0	252	0	0	15	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	1	0	16	1	1
143	天下粮仓@:328	26	1	.//building//qianliangcang001.actor	312	.//building//cj_qianliangcang001.png	4	4	0	300	1	1	0	0	0	300	0	52	0	main_pop.png	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	4	1	5000
144	西域五彩阁@:329	27	1	.//building//wucaichi001.actor	312	.//building//cj_wucaichi001.png	3	3	0	3600	1	15	0	0	0	3600	0	278.4	0	main_pop.png	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	20	1	5000
145	铭心烟花坊@:330	28	1	.//building//yanhuadian001.actor	312	.//building//cj_yanhuadian001.png	4	4	0	86400	1	20	0	0	0	86400	0	551.84	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	75	1	5000
146	威武衙门@:331	29	1	.//building//yamen001.actor	312	.//building//cj_yamen001.png	5	5	0	14400	1	20	0	0	0	14400	0	276.8	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	80	1	5000
147	枫树@:163	1	10	.//building//xiaoshu002.actor	316	.//building//shop_xiaoshu002.png	1	1	0	0	1	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	4	0.75	0	3	1	1
148	河流@:42	5	9	.//building//heliu001.actor	314	.//building//cj_heliu007.png	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	1
149	珍珑棋局@:692	30	1	.//building//qiguan001.actor	312	.//building//cj_qiguan001.png	3	3	0	28800	1	20	0	0	0	28800	0	358.32	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	42	1	5000
150	济世医馆@:693	31	1	.//building//yiguan001.actor	312	.//building//cj_yiguan001.png	5	5	0	86400	1	20	0	0	0	86400	0	569.12	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	38	1	5000
151	听雨茶社@:694	32	1	.//building//chaguan001.actor	312	.//building//cj_chaguan001.png	4	4	0	3600	1	15	0	0	0	3600	0	304.8	0	main_pop.png	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	67	1	5000
152	胡来钱庄@:695	33	1	.//building//qianzhuang001.actor	312	.//building//cj_qianzhuang001.png	4	4	0	28800	1	20	0	0	0	28800	0	380.4	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	53	1	5000
153	茶世家@:696	34	1	.//building//duchang001.actor	312	.//building//cj_duchang001.png	4	4	0	86400	1	20	0	0	0	86400	0	586.4	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	66	1	5000
154	宝来赌场@:697	35	1	.//building//chayuan001.actor	312	.//building//cj_chayuan001.png	4	4	0	3600	1	15	0	0	0	3600	0	331.2	0	main_pop.png	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	63	1	5000
155	穷光蛋典当行@:700	36	1	.//building//dangpu001.actor	312	.//building//cj_dangpu001.png	4	4	0	86400	1	20	0	0	0	86400	0	603.68	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	48	1	5000
156	蔡奶奶蔬菜店@:701	37	1	.//building//shuicaidian001.actor	1	.//building//cj_shucaidian001.png	3	3	0	14400	1	20	0	0	0	14400	0	296	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	1	41	1	5000
157	泰丰服饰@:702	38	1	.//building//fuzhuangdian001.actor	312	.//building//cj_fuzhuangdian001.png	4	4	0	600	1	3	0	0	0	600	0	96	0	main_pop.png	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	1	60	1	5000
158	北海白塔@:703	30	3	.//building//beihai001.actor	1	.//building//cj_beihai001.png	2	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	14	1	1
159	摘星@:704	39	1	.//building//guantiantai001.actor	312	.//building//cj_guantiantai001.png	4	4	0	28800	1	20	0	0	0	28800	0	402.48	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	8	1	5000
160	三碗不过岗@:705	40	1	.//building//jiuguan002.actor	1	.//building//cj_jiuguan002.png	3	3	0	28800	1	20	0	0	0	28800	0	424.56	0	main_pop.png	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	1	70	1	5000
161	灌木@:706	100	13	.//building//guanmu003.actor	1	.//building//cj_guanmu003.png	2	2	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	3	10	1	0.75	0	17	1	5000
